zip,income,pop,unemp_pct,bb_pct,agency_cnt,agency_density,affluence
76827,-666666666,615,0.058,0.205,0.0,0.0,33.4
76828,46116,196,0.0,0.844,0.0,0.0,66.0
76831,-666666666,0,-6666666.66,,0.0,0.0,0.0
76832,-666666666,517,0.052,0.642,0.0,0.0,32.5
76834,51766,4861,0.076,0.514,0.0,0.0,82.6
76836,-666666666,3,0.0,1.0,0.0,0.0,7.2
76837,52917,1946,0.015,0.364,0.0,0.0,77.9
76841,-666666666,201,0.0,0.0,0.0,0.0,27.6
76842,-666666666,188,0.0,0.515,0.0,0.0,27.2
76844,67037,3202,0.037,0.636,0.0,0.0,80.5
76845,60625,172,0.034,0.942,0.0,0.0,65.3
76848,-666666666,53,0.0,0.0,0.0,0.0,20.7
76849,59311,3488,0.014,0.454,0.0,0.0,80.9
76852,77639,276,0.0,0.433,0.0,0.0,67.8
76853,64750,1653,0.042,0.362,0.0,0.0,77.0
76854,101500,483,0.333,0.208,0.0,0.0,70.7
76856,75048,3525,0.025,0.647,0.0,0.0,81.0
76857,48791,2118,0.081,0.391,0.0,0.0,78.3
76858,64375,251,0.103,0.556,0.0,0.0,67.3
76859,43705,1666,0.05,0.352,0.0,0.0,77.1
76861,86125,2145,0.018,0.404,0.0,0.0,78.4
76862,76406,240,0.037,0.618,0.0,0.0,67.0
76864,47070,802,0.069,0.587,0.0,0.0,73.3
76865,57109,237,0.0,0.229,0.0,0.0,67.0
76866,54091,918,0.0,0.406,0.0,0.0,74.0
76869,-666666666,11,0.0,1.0,0.0,0.0,12.9
76870,74583,66,0.091,0.76,0.0,0.0,60.4
76871,85144,560,0.028,0.571,0.0,0.0,71.4
76872,55278,662,0.092,0.656,0.0,0.0,72.3
76873,-666666666,89,0.0,0.97,0.0,0.0,23.4
76874,-666666666,0,-6666666.66,,0.0,0.0,0.0
76875,57361,498,0.0,0.373,0.0,0.0,70.8
76877,52563,4527,0.028,0.61,0.0,0.0,82.3
76878,48125,1797,0.018,0.672,0.0,0.0,77.5
76880,-666666666,0,-6666666.66,,0.0,0.0,0.0
76882,59539,266,0.0,0.505,0.0,0.0,67.6
76884,86563,94,0.0,0.825,0.0,0.0,62.2
76885,90417,92,0.867,0.31,0.0,0.0,62.1
76887,94271,76,0.0,0.895,0.0,0.0,61.1
76888,58750,119,0.133,0.714,0.0,0.0,63.4
76890,57857,812,0.048,0.303,0.0,0.0,73.4
76901,64542,31581,0.047,0.695,0.0,0.0,92.4
76902,-666666666,0,-6666666.66,,0.0,0.0,0.0
76903,49045,31181,0.032,0.638,9.0,0.289,92.3
76904,79617,36444,0.019,0.743,3.0,0.082,93.1
76905,81645,13761,0.028,0.681,0.0,0.0,88.0
76908,-666666666,1566,0.0,,0.0,0.0,38.2
76909,-666666666,420,0.02,,0.0,0.0,31.4
76930,55893,107,0.0,0.568,0.0,0.0,62.9
76932,69620,3239,0.084,0.612,0.0,0.0,80.5
76933,62548,1467,0.069,0.514,0.0,0.0,76.4
76934,50385,1172,0.0,0.509,0.0,0.0,75.3
76935,84750,1638,0.013,0.446,0.0,0.0,77.0
76936,86932,2399,0.054,0.494,0.0,0.0,79.0
76937,105820,267,0.0,0.867,0.0,0.0,67.6
