yelp_alias,title,parent_aliases,naics6,naics3,naics_title,urgency,ticket_band,maturity
cosmetology_schools,Cosmetology Schools,['specialtyschools'],,,,0.5,mid,established
costumes,Costumes,['artsandcrafts'],,,,0.5,mid,established
countertopinstall,Countertop Installation,['homeservices'],,,,0.5,mid,established
countryclubs,Country Clubs,['arts'],,,,0.5,mid,established
countrydancehalls,Country Dance Halls,['nightlife'],,,,0.5,mid,established
couriers,Couriers & Delivery Services,['localservices'],,,,0.5,mid,established
courthouses,Courthouses,['publicservicesgovt'],,,,0.5,mid,established
courtreporters,Court Reporters,['legalservices'],,,,0.5,mid,established
cprclasses,CPR Classes,['specialtyschools'],,,,0.5,mid,established
craneservices,Crane Services,['localservices'],,,,0.5,mid,established
cremationservices,Cremation Services,['funeralservices'],,,,0.5,mid,established
creperies,Creperies,['restaurants'],,,,0.5,mid,established
criminaldefense,Criminal Defense Law,['lawyers'],,,,0.5,mid,established
crisispregnancycenters,Crisis Pregnancy Centers,['health'],,,,0.5,mid,established
cryotherapy,Cryotherapy,['health'],,,,0.5,mid,established
csa,CSA,['food'],,,,0.5,mid,established
cuban,Cuban,['restaurants'],,,,0.5,mid,established
cucinacampana,Cucina campana,['italian'],,,,0.5,mid,established
culturalcenter,Cultural Center,['arts'],,,,0.5,mid,established
cupcakes,Cupcakes,['food'],,,,0.5,mid,established
currencyexchange,Currency Exchange,['financialservices'],,,,0.5,mid,established
currysausage,Curry Sausage,['restaurants'],,,,0.5,mid,established
customcakes,Custom Cakes,['food'],,,,0.5,mid,established
custommerchandise,Customized Merchandise,['shopping'],,,,0.5,mid,established
customsbrokers,Customs Brokers,['professional'],,,,0.5,mid,established
cyclingclasses,Cycling Classes,['active'],,,,0.5,mid,established
cypriot,Cypriot,['restaurants'],,,,0.5,mid,established
czech,Czech,['restaurants'],,,,0.5,mid,established
czechslovakian,Czech/Slovakian,['restaurants'],,,,0.5,mid,established
dagashi,Dagashi,['gourmet'],,,,0.5,mid,established
damagerestoration,Damage Restoration,['homeservices'],,,,0.5,mid,established
dance_schools,Dance Schools,['specialtyschools'],,,,0.5,mid,established
danceclubs,Dance Clubs,['nightlife'],,,,0.5,mid,established
